,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition_Encoded
24,34,Yes,1,699,Research & Development,6,1,Medical,2,Male,3,Research Scientist,1,Single,2960,17102,0,11,3,3,0,8,2,3,4,2,1,1
25,53,No,1,1282,Research & Development,5,3,Other,3,Female,3,Manager,3,Divorced,19094,10735,0,11,3,4,1,26,3,2,14,13,4,0
26,32,Yes,2,1125,Research & Development,16,1,Life Sciences,2,Female,1,Research Scientist,1,Single,3919,4681,1,22,4,2,0,10,5,3,10,2,6,1
27,42,No,1,691,Sales,8,4,Marketing,3,Male,3,Sales Executive,2,Married,6825,21173,0,11,3,4,1,10,2,3,9,7,4,0
28,44,No,1,477,Research & Development,7,4,Medical,1,Female,2,Healthcare Representative,4,Married,10248,2094,0,14,3,4,1,24,4,3,22,6,5,0
29,46,No,1,705,Sales,2,4,Marketing,2,Female,3,Manager,1,Single,18947,22822,0,12,3,4,0,22,2,2,2,2,2,0
30,33,No,1,924,Research & Development,2,3,Medical,3,Male,3,Laboratory Technician,4,Single,2496,6670,0,11,3,4,0,7,3,3,1,1,0,0
31,44,No,1,1459,Research & Development,10,4,Other,4,Male,3,Healthcare Representative,4,Married,6465,19121,1,13,3,4,0,9,5,4,4,2,1,0
32,30,No,1,125,Research & Development,9,2,Medical,4,Male,2,Laboratory Technician,3,Single,2206,16117,0,13,3,1,0,10,5,3,10,0,1,0
33,39,Yes,1,895,Sales,5,3,Technical Degree,4,Male,3,Sales Representative,4,Married,2086,3335,0,14,3,3,1,19,6,4,1,0,0,1
34,24,Yes,1,813,Research & Development,1,3,Medical,2,Male,3,Research Scientist,4,Married,2293,3020,1,16,3,1,1,6,2,2,2,0,2,1
35,43,No,1,1273,Research & Development,2,2,Medical,4,Female,4,Research Scientist,3,Divorced,2645,21923,0,12,3,4,2,6,3,2,5,3,1,0
36,50,Yes,1,869,Sales,3,2,Marketing,1,Male,2,Sales Representative,3,Married,2683,3810,1,14,3,3,0,3,2,3,3,2,0,1
37,35,No,1,890,Sales,2,3,Marketing,4,Female,3,Sales Representative,4,Married,2014,9687,0,13,3,1,0,2,3,3,2,2,2,0
38,36,No,1,852,Research & Development,5,4,Life Sciences,2,Female,2,Research Scientist,1,Married,3419,13072,1,14,3,4,1,6,3,4,1,1,0,0
39,33,No,2,1141,Sales,1,3,Life Sciences,3,Female,4,Sales Executive,1,Married,5376,3193,0,19,3,1,2,10,3,3,5,3,1,0
40,35,No,1,464,Research & Development,4,2,Other,3,Male,3,Laboratory Technician,4,Divorced,1951,10910,0,12,3,3,1,1,3,3,1,0,0,0
41,27,No,1,1240,Research & Development,2,4,Life Sciences,4,Female,3,Laboratory Technician,1,Divorced,2341,19715,0,13,3,4,1,1,6,3,1,0,0,0
42,26,Yes,1,1357,Research & Development,25,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,2293,10558,0,12,3,3,0,1,2,2,1,0,0,1
43,27,No,2,994,Sales,8,3,Life Sciences,4,Male,3,Sales Executive,3,Single,8726,2975,0,15,3,4,0,9,0,3,9,8,1,0
44,30,No,2,721,Research & Development,1,2,Medical,3,Female,3,Laboratory Technician,4,Single,4011,10781,0,23,4,4,0,12,2,3,12,8,3,0
45,41,Yes,1,1360,Research & Development,12,3,Technical Degree,2,Female,3,Research Director,3,Married,19545,16280,0,12,3,4,0,23,0,3,22,15,15,1
46,34,No,0,1065,Sales,23,4,Marketing,2,Male,3,Sales Executive,3,Single,4568,10034,0,20,4,3,0,10,2,3,9,5,8,0
47,37,No,1,408,Research & Development,19,2,Life Sciences,2,Male,3,Research Scientist,2,Married,3022,10227,0,21,4,1,0,8,1,3,1,0,0,0
48,46,No,2,1211,Sales,5,4,Marketing,1,Male,3,Sales Executive,4,Single,5772,20445,1,21,4,3,0,14,4,3,9,6,0,0
49,35,No,1,1229,Research & Development,8,1,Life Sciences,4,Male,4,Laboratory Technician,4,Married,2269,4892,0,19,3,4,0,1,2,3,1,0,0,0
50,48,Yes,1,626,Research & Development,1,2,Life Sciences,1,Male,2,Laboratory Technician,3,Single,5381,19294,1,13,3,4,0,23,2,3,1,0,0,1
51,28,Yes,1,1434,Research & Development,5,4,Technical Degree,3,Male,3,Laboratory Technician,3,Single,3441,11179,1,13,3,3,0,2,3,2,2,2,2,1
52,44,No,1,1488,Sales,1,5,Marketing,2,Female,3,Sales Executive,1,Divorced,5454,4009,1,21,4,3,1,9,2,2,4,3,1,0
53,35,No,0,1097,Research & Development,11,2,Medical,3,Male,2,Healthcare Representative,1,Married,9884,8302,1,13,3,3,1,10,3,3,4,0,2,0
54,26,No,1,1443,Sales,23,3,Marketing,3,Female,2,Sales Executive,4,Married,4157,21436,1,19,3,3,1,5,2,2,2,2,0,0
55,33,No,2,515,Research & Development,1,2,Life Sciences,1,Female,3,Research Director,4,Single,13458,15146,1,12,3,3,0,15,1,3,15,14,8,0
56,35,No,2,853,Sales,18,5,Life Sciences,2,Male,3,Sales Executive,1,Married,9069,11031,0,22,4,4,1,9,3,2,9,8,1,0
57,35,No,1,1142,Research & Development,23,4,Medical,3,Female,3,Laboratory Technician,1,Married,4014,16002,1,15,3,3,1,4,3,3,2,2,2,0
58,31,No,1,655,Research & Development,7,4,Life Sciences,4,Male,3,Laboratory Technician,4,Divorced,5915,9528,0,22,4,4,1,10,3,2,7,7,1,0
59,37,No,1,1115,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,3,Divorced,5993,2689,0,18,3,3,1,7,2,4,7,5,0,0
60,32,No,1,427,Research & Development,1,3,Medical,1,Male,3,Manufacturing Director,4,Married,6162,10877,1,22,4,2,1,9,3,3,9,8,7,0
61,38,No,2,653,Research & Development,29,5,Life Sciences,4,Female,3,Laboratory Technician,4,Single,2406,5456,0,11,3,4,0,10,2,3,10,3,9,0
62,50,No,1,989,Research & Development,7,2,Medical,2,Female,2,Research Director,3,Divorced,18740,16701,1,12,3,4,1,29,2,2,27,3,13,0
63,59,No,1,1435,Sales,25,3,Life Sciences,1,Female,3,Sales Executive,1,Single,7637,2354,0,11,3,4,0,28,3,2,21,16,7,0
64,36,No,1,1223,Research & Development,8,3,Technical Degree,3,Female,3,Healthcare Representative,3,Divorced,10096,8202,0,13,3,2,3,17,2,3,17,14,12,0
65,55,No,1,836,Research & Development,8,3,Medical,4,Female,3,Manager,3,Divorced,14756,19730,1,14,3,3,3,21,2,3,5,0,0,0
66,36,No,2,1195,Research & Development,11,3,Life Sciences,2,Male,2,Manufacturing Director,2,Single,6499,22656,0,13,3,3,0,6,3,3,6,5,0,0
67,45,No,1,1339,Research & Development,7,3,Life Sciences,2,Male,3,Research Scientist,1,Divorced,9724,18787,0,17,3,3,1,25,2,3,1,0,0,0
68,35,No,2,664,Research & Development,1,3,Medical,2,Male,3,Research Scientist,1,Married,2194,5868,0,13,3,4,1,5,2,2,3,2,1,0
69,36,Yes,1,318,Research & Development,9,3,Medical,4,Male,2,Research Scientist,3,Married,3388,21777,1,17,3,1,1,2,0,2,1,0,0,1
70,59,No,2,1225,Sales,1,1,Life Sciences,1,Female,2,Sales Executive,3,Single,5473,24668,0,11,3,4,0,20,2,2,4,3,1,0
71,29,No,1,1328,Research & Development,2,3,Life Sciences,3,Male,3,Research Scientist,2,Married,2703,4956,0,23,4,4,1,6,3,3,5,4,0,0
72,31,No,1,1082,Research & Development,1,4,Medical,3,Male,3,Research Scientist,2,Single,2501,18775,0,17,3,2,0,1,4,3,1,1,1,0
73,32,No,1,548,Research & Development,1,3,Life Sciences,2,Male,3,Research Scientist,2,Married,6220,7346,0,17,3,2,2,10,3,3,10,4,0,0
74,36,No,1,132,Research & Development,6,3,Life Sciences,2,Female,4,Laboratory Technician,4,Married,3038,22002,0,12,3,2,0,5,3,3,1,0,0,0
75,31,No,1,746,Research & Development,8,4,Life Sciences,3,Female,3,Manufacturing Director,4,Single,4424,20682,0,23,4,4,0,11,2,3,11,7,1,0
76,35,No,1,776,Sales,1,4,Marketing,3,Male,2,Sales Executive,1,Single,4312,23016,0,14,3,2,0,16,2,3,15,13,2,0
77,45,No,1,193,Research & Development,6,4,Other,4,Male,3,Research Director,1,Married,13245,15067,1,14,3,2,0,17,3,4,0,0,0,0
78,37,No,1,397,Research & Development,7,4,Medical,1,Male,3,Research Director,3,Single,13664,25258,0,13,3,1,0,16,3,4,5,2,0,0
79,46,No,1,945,Human Resources,5,2,Medical,2,Male,3,Human Resources,2,Divorced,5021,10425,1,22,4,4,1,16,2,3,4,2,0,0
80,30,No,1,852,Research & Development,1,1,Life Sciences,4,Male,2,Laboratory Technician,4,Married,5126,15998,1,12,3,3,2,10,1,2,10,8,3,0
81,35,No,1,1214,Research & Development,1,3,Medical,2,Male,2,Research Scientist,3,Single,2859,26278,0,18,3,1,0,6,3,3,6,4,0,0
82,55,No,1,111,Sales,1,2,Life Sciences,1,Male,3,Sales Executive,4,Married,10239,18092,0,14,3,4,1,24,4,3,1,0,1,0
83,38,No,0,573,Research & Development,6,3,Medical,2,Female,1,Research Scientist,4,Divorced,5329,15717,1,12,3,4,3,17,3,3,13,11,1,0
84,34,No,1,1153,Research & Development,1,2,Medical,1,Male,3,Manufacturing Director,2,Married,4325,17736,0,15,3,3,0,5,2,3,5,2,1,0
85,56,No,1,1400,Research & Development,7,3,Life Sciences,4,Male,1,Manufacturing Director,4,Single,7260,21698,0,11,3,1,0,37,3,2,6,4,0,0
86,23,No,1,541,Sales,2,1,Technical Degree,3,Male,3,Sales Representative,1,Divorced,2322,9518,0,13,3,3,1,3,3,3,0,0,0,0
87,51,No,1,432,Research & Development,9,4,Life Sciences,4,Male,3,Laboratory Technician,4,Married,2075,18725,0,23,4,2,2,10,4,3,4,2,0,0
88,30,No,1,288,Research & Development,2,3,Life Sciences,3,Male,2,Healthcare Representative,4,Married,4152,15830,0,19,3,1,3,11,3,3,11,10,10,0
89,46,Yes,1,669,Sales,9,2,Medical,3,Male,2,Sales Executive,4,Single,9619,13596,0,16,3,4,0,9,3,3,9,8,4,1
90,40,No,2,530,Research & Development,1,4,Life Sciences,3,Male,2,Healthcare Representative,2,Married,13503,14115,0,22,4,4,1,22,3,2,22,3,11,0
91,51,No,1,632,Sales,21,4,Marketing,3,Male,3,Sales Executive,4,Single,5441,8423,1,22,4,4,0,11,2,1,10,7,1,0
92,30,No,1,1334,Sales,4,2,Medical,3,Female,2,Sales Executive,2,Divorced,5209,19760,1,12,3,2,3,11,4,2,11,8,2,0
93,46,No,2,638,Research & Development,1,3,Medical,3,Male,2,Healthcare Representative,1,Married,10673,3142,1,13,3,3,1,21,5,2,10,9,9,0
94,32,No,1,1093,Sales,6,4,Medical,2,Male,3,Sales Executive,3,Single,5010,24301,0,16,3,1,0,12,0,3,11,8,5,0
95,54,No,1,1217,Research & Development,2,4,Technical Degree,1,Female,3,Research Director,3,Married,13549,24001,0,12,3,1,1,16,5,1,4,3,0,0
96,24,No,1,1353,Sales,3,2,Other,1,Female,3,Sales Executive,3,Married,4999,17519,0,21,4,1,1,4,2,2,3,2,0,0
97,28,No,0,120,Sales,4,3,Medical,2,Male,3,Sales Executive,3,Married,4221,8863,0,15,3,2,0,5,3,4,5,4,0,0
98,58,No,1,682,Sales,10,4,Medical,4,Male,3,Sales Executive,3,Single,13872,24409,0,13,3,3,0,38,1,2,37,10,1,0
99,44,No,0,489,Research & Development,23,3,Medical,2,Male,3,Laboratory Technician,2,Married,2042,25043,0,12,3,3,1,17,3,4,3,2,1,0
100,37,Yes,1,807,Human Resources,6,4,Human Resources,3,Male,3,Human Resources,1,Divorced,2073,23648,1,22,4,4,0,7,3,3,3,2,0,1
101,32,No,1,827,Research & Development,1,1,Life Sciences,4,Male,3,Research Scientist,1,Single,2956,15178,0,13,3,4,0,1,2,3,1,0,0,0
102,20,Yes,2,871,Research & Development,6,3,Life Sciences,4,Female,2,Laboratory Technician,4,Single,2926,19783,1,18,3,2,0,1,5,3,1,0,1,1
103,34,No,1,665,Research & Development,6,4,Other,1,Female,3,Research Scientist,3,Single,4809,12482,0,14,3,3,0,16,3,3,16,13,2,0
104,37,No,0,1040,Research & Development,2,2,Life Sciences,3,Male,2,Healthcare Representative,4,Divorced,5163,15850,0,14,3,4,1,17,2,4,1,0,0,0
105,59,No,0,1420,Human Resources,2,4,Human Resources,3,Female,2,Manager,4,Married,18844,21922,0,21,4,4,1,30,3,3,3,2,2,0
106,50,No,2,1115,Research & Development,1,3,Life Sciences,1,Female,3,Research Director,2,Married,18172,9755,1,19,3,1,0,28,1,2,8,3,0,0
107,25,Yes,1,240,Sales,5,3,Marketing,3,Male,2,Sales Executive,3,Single,5744,26959,1,11,3,4,0,6,1,3,6,4,0,1
108,25,No,1,1280,Research & Development,7,1,Medical,4,Male,2,Research Scientist,4,Married,2889,26897,0,11,3,3,2,2,2,3,2,2,2,0
109,22,No,1,534,Research & Development,15,3,Medical,2,Female,3,Laboratory Technician,4,Single,2871,23785,0,15,3,3,0,1,5,3,0,0,0,0
110,51,No,2,1456,Research & Development,1,4,Medical,1,Female,2,Healthcare Representative,1,Single,7484,25796,0,20,4,3,0,23,1,2,13,12,12,0
111,34,Yes,2,658,Research & Development,7,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,6074,22887,1,24,4,4,0,9,3,3,9,7,0,1
112,54,No,0,142,Human Resources,26,3,Human Resources,4,Female,4,Manager,4,Single,17328,13871,1,12,3,3,0,23,3,3,5,3,4,0
113,24,No,1,1127,Research & Development,18,1,Life Sciences,2,Male,3,Laboratory Technician,3,Married,2774,13257,0,12,3,3,1,6,2,3,5,3,1,0
114,34,No,1,1031,Research & Development,6,4,Life Sciences,3,Female,2,Research Scientist,2,Divorced,4505,15000,0,15,3,3,1,12,3,3,1,0,0,0
115,37,No,1,1189,Sales,3,3,Life Sciences,3,Male,3,Sales Executive,4,Single,7428,14506,0,12,3,1,0,12,3,3,5,3,1,0
116,34,No,1,1354,Research & Development,5,3,Medical,3,Female,2,Manager,1,Single,11631,5615,0,12,3,4,0,14,6,3,11,10,5,0
117,36,No,2,1467,Sales,11,2,Technical Degree,2,Female,3,Sales Executive,4,Married,9738,22952,0,14,3,3,1,10,6,3,9,7,2,0
118,36,No,1,922,Research & Development,3,2,Life Sciences,1,Female,3,Laboratory Technician,4,Divorced,2835,2561,0,22,4,1,1,7,2,3,1,0,0,0
119,43,No,2,394,Sales,26,2,Life Sciences,3,Male,3,Manager,4,Married,16959,19494,1,12,3,4,2,25,3,4,25,12,4,0
120,30,No,2,1312,Research & Development,23,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2613,22310,0,25,4,3,3,10,2,2,10,7,0,0
121,33,No,0,750,Sales,22,2,Marketing,3,Male,3,Sales Executive,2,Married,6146,15480,0,13,3,1,1,8,2,4,7,7,0,0
122,56,Yes,1,441,Research & Development,14,4,Life Sciences,2,Female,3,Research Scientist,2,Married,4963,4510,1,18,3,1,3,7,2,3,5,4,4,1
123,51,No,1,684,Research & Development,6,3,Life Sciences,1,Male,3,Research Director,3,Single,19537,6462,0,13,3,3,0,23,5,3,20,18,15,0
124,31,Yes,1,249,Sales,6,4,Life Sciences,2,Male,1,Sales Executive,3,Married,6172,20739,1,18,3,2,0,12,3,2,7,7,7,1
125,26,No,1,841,Research & Development,6,3,Other,3,Female,2,Research Scientist,2,Married,2368,23300,0,19,3,3,0,5,3,2,5,4,4,0
126,58,Yes,1,147,Research & Development,23,4,Medical,4,Female,3,Healthcare Representative,4,Married,10312,3465,0,12,3,4,1,40,3,2,40,10,15,1
127,19,Yes,1,528,Sales,22,1,Marketing,4,Male,3,Sales Representative,3,Single,1675,26820,1,19,3,4,0,0,2,2,0,0,0,1
128,22,No,1,594,Research & Development,2,1,Technical Degree,3,Male,3,Laboratory Technician,4,Married,2523,19299,0,14,3,3,1,3,2,3,2,1,2,0
129,49,No,1,470,Research & Development,20,4,Medical,3,Female,3,Manufacturing Director,1,Married,6567,5549,0,14,3,3,0,16,2,2,15,11,5,0
130,43,No,2,957,Research & Development,28,3,Medical,2,Female,4,Research Scientist,3,Single,4739,16090,0,12,3,4,0,18,2,3,3,2,1,0
131,50,No,2,809,Sales,12,3,Marketing,3,Female,3,Sales Executive,4,Single,9208,6645,0,11,3,4,0,16,3,3,2,2,2,0
132,31,Yes,1,542,Sales,20,3,Life Sciences,2,Female,1,Sales Executive,3,Married,4559,24788,1,11,3,3,1,4,2,3,2,2,2,1
133,41,No,1,802,Sales,9,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced,8189,21196,1,13,3,3,1,12,2,3,9,7,0,0
134,26,No,1,1355,Human Resources,25,1,Life Sciences,3,Female,3,Human Resources,3,Married,2942,8916,0,23,4,4,1,8,3,3,8,7,5,0
135,36,No,1,216,Research & Development,6,2,Medical,2,Male,3,Manufacturing Director,2,Divorced,4941,2819,0,20,4,4,2,7,0,3,3,2,0,0
136,51,Yes,2,1150,Research & Development,8,4,Life Sciences,1,Male,1,Manufacturing Director,4,Single,10650,25150,0,15,3,4,0,18,2,3,4,2,0,1
137,39,No,1,1329,Sales,4,4,Life Sciences,4,Female,2,Sales Executive,3,Married,5902,14590,0,14,3,3,1,17,1,4,15,11,5,0
138,25,No,1,959,Sales,28,3,Life Sciences,1,Male,2,Sales Executive,3,Married,8639,24835,0,18,3,4,0,6,3,3,2,2,2,0
139,30,No,1,1240,Human Resources,9,3,Human Resources,3,Male,3,Human Resources,4,Married,6347,13982,1,19,3,4,0,12,2,1,11,9,4,0
140,32,Yes,1,1033,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,1,Single,4200,10224,0,22,4,1,0,10,2,4,5,4,0,1
141,45,No,1,1316,Research & Development,29,3,Medical,3,Male,3,Research Scientist,4,Single,3452,9752,0,13,3,2,0,9,2,2,6,5,0,0
142,38,No,1,364,Research & Development,3,5,Technical Degree,4,Female,3,Research Scientist,3,Single,4317,2302,1,20,4,2,0,19,2,3,3,2,2,0
143,30,No,1,438,Research & Development,18,3,Life Sciences,1,Female,3,Research Scientist,3,Single,2632,23910,0,14,3,3,0,5,4,2,5,4,0,0
144,32,No,2,689,Sales,9,2,Medical,4,Male,1,Sales Executive,4,Divorced,4668,22812,0,17,3,4,3,9,2,4,8,7,0,0
145,30,No,1,201,Research & Development,5,3,Technical Degree,4,Female,3,Research Scientist,1,Divorced,3204,10415,0,14,3,4,1,8,3,3,3,2,2,0
146,30,No,1,1427,Research & Development,2,1,Medical,2,Male,2,Laboratory Technician,4,Single,2720,11162,0,13,3,4,0,6,3,3,5,3,1,0
147,41,No,2,857,Research & Development,10,3,Life Sciences,4,Male,2,Manager,1,Divorced,17181,12888,0,13,3,2,1,21,2,2,7,6,7,0
148,41,No,1,933,Research & Development,9,4,Life Sciences,3,Male,3,Laboratory Technician,1,Married,2238,6961,0,21,4,4,1,7,2,3,5,0,1,0
149,19,No,1,1181,Research & Development,3,1,Medical,2,Female,3,Laboratory Technician,2,Single,1483,16102,0,14,3,4,0,1,3,3,1,0,0,0
150,40,No,2,1395,Research & Development,26,3,Medical,2,Female,3,Research Scientist,2,Divorced,5605,8504,0,11,3,1,1,20,2,3,20,7,2,0
151,35,No,1,662,Sales,1,5,Marketing,3,Male,3,Sales Executive,2,Married,7295,11439,0,13,3,1,2,10,3,3,10,8,0,0
152,53,No,1,1436,Sales,6,2,Marketing,2,Male,3,Sales Representative,3,Married,2306,16047,1,20,4,4,1,13,3,1,7,7,4,0
153,45,No,1,194,Research & Development,9,3,Life Sciences,2,Male,3,Laboratory Technician,2,Divorced,2348,10901,0,18,3,3,1,20,2,1,17,9,0,0
154,32,No,2,967,Sales,8,3,Marketing,2,Female,3,Sales Executive,4,Single,8998,15589,0,14,3,4,0,9,2,3,9,8,3,0
155,29,No,0,1496,Research & Development,1,1,Technical Degree,4,Male,3,Manufacturing Director,3,Married,4319,26283,0,13,3,1,1,10,1,3,10,7,0,0
156,51,No,1,1169,Research & Development,7,4,Medical,2,Male,2,Manufacturing Director,3,Married,6132,13983,0,17,3,3,0,10,2,3,1,0,0,0
157,58,No,1,1145,Research & Development,9,3,Medical,2,Female,2,Research Scientist,2,Married,3346,11873,1,20,4,2,1,9,3,2,1,0,0,0
158,40,No,1,630,Sales,4,4,Marketing,3,Male,2,Sales Executive,4,Married,10855,8552,0,11,3,1,1,15,2,2,12,11,2,0
159,34,No,2,303,Sales,2,4,Marketing,3,Female,3,Sales Representative,3,Married,2231,11314,0,18,3,4,1,6,3,3,4,3,1,0
160,22,No,1,1256,Research & Development,19,1,Medical,3,Male,3,Research Scientist,4,Married,2323,11992,0,24,4,1,2,2,6,3,2,2,2,0
161,27,No,0,691,Research & Development,9,3,Medical,4,Male,3,Research Scientist,2,Divorced,2024,5970,0,18,3,4,1,6,1,1,2,2,2,0
162,28,No,1,440,Research & Development,21,3,Medical,3,Male,3,Research Scientist,4,Married,2713,6672,0,11,3,3,1,5,2,1,5,2,0,0
163,57,No,1,334,Research & Development,24,2,Life Sciences,3,Male,4,Healthcare Representative,4,Divorced,9439,23402,1,16,3,2,1,12,2,1,5,3,1,0
164,27,No,0,1450,Research & Development,3,3,Medical,3,Male,2,Research Scientist,3,Divorced,2566,25326,1,15,3,4,1,1,2,2,1,1,0,0
165,50,No,1,1452,Research & Development,11,3,Life Sciences,3,Female,3,Manager,2,Single,19926,17053,0,15,3,2,0,21,5,3,5,4,4,0
166,41,No,1,465,Research & Development,14,3,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2451,4609,0,12,3,1,1,13,2,3,9,8,1,0
167,30,No,1,1339,Sales,5,3,Life Sciences,2,Female,3,Sales Executive,4,Married,9419,8053,0,12,3,3,1,12,2,3,10,9,7,0
168,38,No,1,702,Sales,1,4,Life Sciences,1,Female,2,Sales Executive,4,Single,8686,12930,0,22,4,3,0,12,2,4,8,3,0,0
169,32,No,1,120,Research & Development,6,5,Life Sciences,3,Male,3,Research Scientist,3,Single,3038,12430,0,20,4,1,0,8,2,3,5,4,1,0
170,27,No,1,1157,Research & Development,17,3,Technical Degree,3,Male,3,Research Scientist,2,Married,3058,13364,1,16,3,4,1,6,3,2,5,2,1,0
171,19,Yes,2,602,Sales,1,1,Technical Degree,3,Female,1,Sales Representative,1,Single,2325,20989,0,21,4,1,0,1,5,4,0,0,0,1
172,36,No,2,1480,Research & Development,3,2,Medical,4,Male,3,Laboratory Technician,2,Single,2088,15062,0,12,3,3,0,13,3,2,8,7,7,0
173,30,No,0,111,Research & Development,9,3,Medical,3,Male,3,Laboratory Technician,1,Divorced,3072,11012,0,11,3,3,2,12,4,3,12,9,6,0
174,45,No,1,1268,Sales,4,2,Life Sciences,3,Female,3,Sales Executive,1,Divorced,5006,6319,1,11,3,1,1,9,3,4,5,4,0,0
175,56,No,1,713,Research & Development,8,3,Life Sciences,3,Female,3,Research Scientist,1,Divorced,4257,13939,1,18,3,3,1,19,3,3,2,2,2,0
176,33,No,1,134,Research & Development,2,3,Life Sciences,3,Male,3,Research Scientist,4,Single,2500,10515,0,14,3,1,0,4,2,4,3,1,0,0
177,19,Yes,1,303,Research & Development,2,3,Life Sciences,2,Male,2,Laboratory Technician,4,Single,1102,9241,0,22,4,3,0,1,3,2,1,0,1,1
